case_id,environment,scenario,wind_model,source_mode,source_description,resolution,number_of_source_cells,radionuclide,emission_factor,emission_rate_bq_s,emission_classification,grid_shape,dx_m,dy_m,dz_m,dt_s,total_time_s,max_concentration_bq_m3,final_max_concentration_bq_m3,total_activity_bq,final_total_activity_bq,centroid_x_m,centroid_y_m,centroid_z_m,final_centroid_x_m,final_centroid_y_m,final_centroid_z_m,runtime_s,n_steps,hrtm_profile,max_dose_field,final_max_dose_field,field_file,status,error
Tc99m_Q0.25_MULTIPLE_POINTS_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,multiple_points,5 point sources,high,5,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,304.2665696931431,304.2665696931431,0.0,1857.1253046935426,nan,nan,nan,15.0,15.000000000000002,7.500000111117281,63.33229155800018,12000,,nan,nan,,OK,
Tc99m_Q0.25_MULTIPLE_POINTS_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,234.78772867003934,234.78772867003934,0.0,1850.6159062323088,nan,nan,nan,14.999446829864738,15.008468652023614,8.22392662064989,64.15027418499994,12000,,nan,nan,,OK,
Tc99m_Q0.25_MULTIPLE_POINTS_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,169.46301556325182,169.46301556325182,0.0,1808.1167883013995,nan,nan,nan,14.99747673398161,15.021613075313299,9.246218474843985,63.368432560000656,12000,,nan,nan,,OK,
Tc99m_Q0.25_MULTIPLE_POINTS_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,16.457754502971863,16.457754502971863,0.0,234.3078034681275,nan,nan,nan,15.000000000000005,16.989098650790684,10.991994127574504,64.18270631099949,12000,,nan,nan,,OK,
Tc99m_Q0.25_MULTIPLE_POINTS_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,multiple_points,5 point sources,high,5,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,91.88975091216419,91.88975091216419,0.0,934.0845643482767,nan,nan,nan,22.197756570912997,15.0,7.500000000764409,21.02092323299985,12000,,nan,nan,,OK,
Tc99m_Q0.25_MULTIPLE_POINTS_OUTDOOR_SHEAR,outdoor,shear,ShearField,multiple_points,5 point sources,high,5,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,86.576624538113,86.576624538113,0.0,851.0194431249832,nan,nan,nan,22.201056385657782,14.999999999999996,7.492848239667072,20.88886855199962,12000,,nan,nan,,OK,
Tc99m_Q0.25_MULTIPLE_POINTS_OUTDOOR_GUST,outdoor,gust,GustField,multiple_points,5 point sources,high,5,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,101.96799606831247,98.78079534058779,0.0,957.8716029757411,nan,nan,nan,22.01239334256686,15.000000000000002,7.500000000921111,21.375110226999823,12000,,nan,nan,,OK,
Tc99m_Q0.25_MULTIPLE_POINTS_OUTDOOR_VORTEX,outdoor,vortex,VortexField,multiple_points,5 point sources,high,5,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,298.5821317050549,298.5821317050549,0.0,1857.1253046434495,nan,nan,nan,15.000000000002903,15.000000000002332,7.500000110981568,21.6499882549997,12000,,nan,nan,,OK,
Tc99m_Q0.25_PLANAR_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,planar,planar source (49 cells),high,49,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,102.92820073615451,102.92820073615451,0.0,1857.125304693412,nan,nan,nan,14.999999999999998,15.0,7.50000011111728,62.41112765299931,12000,,nan,nan,,OK,
Tc99m_Q0.25_PLANAR_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,planar,planar source (49 cells),high,49,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,70.60871019378602,70.60871019378602,0.0,1855.2817535107404,nan,nan,nan,14.999457934196004,14.998014498727459,8.225186541262566,62.677361360999384,12000,,nan,nan,,OK,
